Image,Bbox,Confidence
1594,"[[    0.17131     0.37855     0.31671    0.067914]
 [    0.38708     0.55009     0.17093      0.0573]
 [     0.7359     0.56804     0.18305    0.052989]
 [    0.26482     0.54571    0.070219    0.049769]
 [    0.95296     0.44556    0.094084    0.037173]
 [    0.11356     0.54386     0.22666    0.064263]
 [    0.68795     0.42871     0.28503    0.052133]
 [    0.51629     0.25695     0.18391     0.09018]
 [    0.95386      0.4823    0.092005    0.040795]]",[    0.82209     0.80559     0.77014      0.7325     0.61698     0.59724     0.57932     0.51885     0.47199]
1597,"[[    0.40066     0.47752     0.34578    0.073726]
 [    0.31806     0.63644      0.2114    0.059477]
 [    0.52913      0.6414     0.20277    0.040564]]",[     0.7443     0.64796     0.43717]
1599,"[[    0.34734     0.17431     0.19437    0.091945]
 [    0.62455     0.37532     0.36849     0.17746]
 [    0.27383     0.50223     0.19135     0.12809]
 [   0.063857     0.56303    0.065283    0.060349]
 [    0.90215     0.42598     0.19268     0.13982]]",[    0.84938     0.82209     0.76764     0.55683     0.54773]
1611,"[[    0.58365     0.34798     0.14787     0.10538]
 [    0.19449     0.38769     0.38711     0.11816]]",[    0.86612     0.70646]
1633,"[[    0.71074     0.37052     0.27248     0.06968]
 [    0.41016     0.37505    0.099573    0.047696]
 [   0.093239     0.38605     0.06527    0.039078]
 [    0.24551     0.38206     0.23471    0.045765]
 [    0.75084     0.98373    0.085662    0.032549]]",[    0.67736     0.60856     0.54885     0.49394     0.41914]
1634,"[[    0.32484     0.51467    0.082263      0.0487]
 [    0.75025      0.5116      0.1191    0.056341]
 [    0.41734      0.5178    0.086744    0.054988]
 [    0.52451     0.51089    0.095079    0.054188]
 [    0.47817     0.15079     0.37806    0.087152]
 [    0.24604     0.50978    0.076708    0.046235]
 [    0.62418     0.51018     0.10404    0.056209]
 [    0.88467      0.4993    0.067581    0.059531]
 [    0.96233     0.49028    0.075342    0.059493]
 [    0.54386     0.35306     0.36451    0.066819]]",[    0.81349      0.7945      0.7939     0.77158     0.74421     0.72459      0.7036     0.67013     0.65445     0.41749]
18101381_14,"[[    0.31199     0.47275     0.37428     0.12942]
 [    0.95569     0.50316    0.088623     0.13351]]",[    0.52303     0.43317]
18101381_17,"[[    0.51291     0.52301     0.38746     0.18709]
 [     0.2454     0.74478    0.066948    0.072448]]",[    0.80754     0.51181]
18101381_27,[],[]
1815,"[[    0.39408      0.2638     0.15363     0.12659]
 [    0.65841     0.13435     0.23303     0.10689]
 [    0.21729     0.28199     0.14392    0.093013]]",[    0.83628     0.79688     0.77294]
1823,"[[    0.19357     0.44166     0.17253    0.095516]
 [    0.19807     0.15983     0.15274    0.092428]
 [   0.051764     0.48664     0.10353    0.087268]
 [    0.61217      0.3223     0.38588    0.089687]]",[    0.87708     0.85438     0.81191     0.78004]
1828,"[[    0.33004     0.22459     0.32227    0.088651]
 [    0.30723     0.39786     0.17847    0.088365]
 [    0.83724      0.6865      0.2985     0.11997]]",[      0.857     0.76424     0.49331]
1834,"[[    0.64315     0.69992     0.37321     0.15219]
 [    0.63627     0.37854     0.19594    0.071768]
 [    0.38914     0.68924     0.13875    0.094292]
 [    0.23079     0.35752     0.16748    0.063379]
 [    0.60842      0.1107     0.38973     0.13154]
 [    0.10511     0.73225     0.21021    0.098325]
 [    0.61527       0.508     0.37915     0.12554]
 [    0.28076     0.72986    0.069493    0.090304]
 [   0.082277     0.63945     0.16455    0.075573]]",[     0.8916     0.85667      0.8095     0.80282     0.72854     0.70472      0.5906     0.52406     0.49841]
1898,"[[    0.30582     0.53414     0.17458    0.096397]
 [    0.55307     0.47603     0.25291    0.095706]
 [    0.45276     0.59744     0.11035    0.058659]]",[    0.90698      0.6014     0.45888]
19101192_16,[[      0.656     0.31383     0.38932     0.38959]],[    0.40034]
19101192_28,[[    0.28516     0.44213     0.38192     0.32957]],[    0.64069]
19101192_7,[[    0.80416     0.74134     0.38938     0.17882]],[     0.4103]
19121070_16,"[[    0.71724     0.47255     0.22639      0.1347]
 [    0.49017     0.47852     0.22903    0.095746]
 [    0.28194     0.45328      0.1496     0.15165]
 [    0.93454     0.19015     0.12796     0.03634]]",[    0.88458       0.834     0.58941     0.57397]
1914,"[[    0.58252     0.42547     0.38797     0.11178]
 [    0.13843     0.49157     0.24397    0.041578]
 [    0.47253     0.31358     0.16053    0.093137]
 [    0.75097      0.9838    0.085658    0.032401]]",[    0.87172     0.75494      0.7266     0.39112]
1961,"[[    0.52732     0.96923      0.0861    0.043113]
 [    0.49471     0.16734     0.37843     0.33468]
 [    0.11096     0.63567     0.22053    0.049676]]",[    0.64794     0.40967     0.39903]
1987,"[[    0.23479     0.62635     0.16736      0.0774]
 [    0.38507     0.69294     0.12778    0.084332]
 [    0.63319     0.65812    0.096851    0.061067]
 [    0.42096     0.47073     0.22994    0.072535]
 [    0.48246     0.57211     0.20195    0.050532]
 [   0.075897     0.60638     0.15179    0.097453]
 [    0.62588     0.54575    0.080711     0.06129]
 [    0.50787     0.68998     0.11941    0.096924]
 [    0.40312     0.24959     0.17684    0.079138]
 [   0.053939     0.38726     0.10765     0.09939]
 [    0.22842     0.70468     0.15627    0.078733]
 [    0.97771     0.58041    0.044574      0.0352]
 [     0.7104     0.69319    0.054278    0.055007]
 [     0.9351     0.58495    0.041959    0.037722]
 [   0.026101    0.088857    0.052115     0.16025]]",[    0.85194     0.81313     0.79094     0.77624     0.77512     0.76833     0.75227     0.75108     0.74535     0.71923     0.70204     0.62031      0.5527     0.49187     0.48183]
1992,"[[    0.89582     0.17663     0.19301     0.11742]
 [    0.85964     0.45845     0.15593    0.091588]
 [    0.51765     0.48173     0.17204     0.10139]
 [    0.69536     0.47348     0.16747     0.11277]
 [    0.22263     0.46333     0.12519    0.071428]
 [    0.50865     0.10491     0.21799    0.059095]]",[    0.84637     0.79954     0.79527     0.76785     0.73708     0.50472]
2010,"[[     0.6668     0.27495     0.38843     0.18459]
 [    0.49371     0.25604     0.38069     0.20088]
 [    0.51581     0.48063    0.085788    0.046521]]",[    0.80645      0.6364     0.43602]
20101285_01,"[[    0.14549     0.65354     0.29097    0.083292]
 [    0.43136     0.44889     0.21759     0.21212]
 [    0.71337      0.4482     0.13909     0.29673]]",[    0.78957     0.72329     0.45538]
20101285_02,"[[    0.61239     0.38441     0.25898     0.12501]
 [    0.15877     0.44198     0.22928     0.12034]
 [    0.38212     0.42702       0.173     0.12086]]",[    0.90441      0.8618     0.82626]
20101285_03,"[[    0.84907     0.31178     0.27701     0.18133]
 [    0.30766     0.30129     0.35958     0.25268]
 [    0.60742     0.33934     0.19066     0.15172]
 [    0.61725     0.46934      0.2024    0.095877]
 [    0.34606     0.50421     0.28595    0.064499]]",[    0.89271     0.85433     0.73617     0.70471     0.61124]
20101285_20,"[[    0.49521     0.20639     0.38589    0.073142]
 [    0.54197     0.30929     0.38823     0.12487]
 [    0.41065     0.61727     0.38874    0.092276]
 [    0.72879     0.61541    0.053299    0.089765]
 [    0.36798     0.31202     0.37971     0.12782]
 [    0.36823     0.20927     0.37249    0.072119]
 [    0.97102     0.27296    0.057961    0.084503]]",[    0.79972     0.77028     0.69385     0.57676     0.53258     0.48853     0.42231]
20101285_24,"[[    0.62325     0.30124     0.36215     0.21017]
 [   0.093242     0.16004     0.18648     0.19791]
 [    0.91896     0.49671     0.16207    0.067727]]",[    0.79089     0.73552     0.55061]
20101285_39,[[    0.55269     0.41851     0.39068     0.34527]],[    0.75068]
20121011_06,"[[     0.6174     0.42741     0.38238      0.1543]
 [    0.92268     0.52397    0.065322    0.051829]
 [     0.3265     0.39596     0.37822     0.18473]
 [   0.065815     0.39307     0.13163     0.11595]]",[    0.69836     0.60964     0.57888     0.52174]
20121011_15,"[[     0.1421     0.33467     0.28419    0.052791]
 [    0.44386     0.54174      0.1996     0.03443]
 [    0.45945      0.3358     0.35813     0.06379]]",[    0.50718     0.42895     0.41049]
20121011_25,"[[    0.49043    0.094614     0.23239     0.10612]
 [    0.61377     0.33356      0.3821      0.1605]
 [    0.32563     0.33336     0.37541     0.14804]
 [    0.12218    0.027965     0.24435     0.05593]]",[    0.84988     0.82852     0.55112     0.50282]
20121026_01,[[    0.64352     0.55378      0.3821     0.23204]],[     0.8294]
20121026_02,"[[    0.65407     0.56066     0.38847     0.26666]
 [    0.19668     0.49457      0.3704     0.27115]
 [    0.64582     0.42458     0.38287     0.31879]]",[    0.64644     0.57748     0.47721]
20121026_19,"[[    0.56145     0.19838     0.37854     0.13633]
 [    0.13598     0.19962     0.27196     0.30675]
 [    0.13692     0.30424     0.27275      0.2212]
 [    0.49974      0.5073     0.37691     0.21603]]",[    0.77416     0.66303     0.65655     0.40303]
20121026_22,"[[    0.83654     0.90326      0.1942    0.044608]
 [    0.45663     0.65686     0.37584    0.032096]]",[    0.78372     0.42081]
20121044_05,"[[    0.53781     0.53905     0.39167     0.36084]
 [   0.059902     0.58975      0.1198     0.11395]
 [     0.3926     0.54501     0.37458     0.35678]
 [    0.93203     0.53431     0.13594     0.36069]]",[     0.6346     0.50658     0.49464     0.40763]
20121044_19,"[[    0.24089     0.36014     0.27512     0.26608]
 [    0.47992     0.77548     0.28108     0.26757]
 [     0.7716     0.70333     0.30558     0.29718]
 [    0.63924     0.12646     0.38866     0.25292]
 [    0.22627     0.55507     0.26727     0.14365]
 [    0.71229     0.18219     0.26674      0.2152]]",[    0.76884     0.72252     0.71735     0.70015     0.67116     0.66259]
20121044_21,[[    0.44209     0.60514     0.39349     0.17974]],[    0.79833]
20121044_29,"[[      0.659     0.12255     0.20775      0.2052]
 [    0.63776       0.554     0.39059     0.27292]
 [    0.91474     0.45728     0.17052     0.29572]
 [    0.95986     0.10558    0.080283     0.19103]]",[    0.80112      0.7626     0.69883     0.43447]
20121051_18,"[[    0.41217     0.48516     0.23333     0.16246]
 [    0.20093     0.48562     0.19553     0.16937]]",[    0.81757     0.59929]
20121066_01,"[[    0.35594     0.51101     0.27974     0.24862]
 [    0.69236     0.46875     0.38962     0.33487]
 [      0.663     0.91791     0.10915       0.136]]",[    0.83486     0.78713     0.41321]
20121066_19,[[    0.81045     0.68816     0.37726     0.34311]],[     0.4716]
20121066_28,"[[    0.87198     0.70196     0.13444     0.11991]
 [    0.38767     0.48526      0.3773      0.3298]
 [    0.75572     0.57998      0.3405     0.10749]
 [    0.93021     0.30644     0.13958    0.092981]]",[    0.86621     0.63642     0.50185     0.43002]
20201020_42,[[     0.1784     0.57329     0.35679      0.2065]],[    0.52467]
20201020_56,"[[    0.56699      0.4742     0.38885     0.17105]
 [    0.84977     0.80884     0.05886     0.05065]
 [    0.94917     0.80929     0.10165    0.046072]
 [     0.8775     0.41801       0.245     0.16471]
 [    0.15624     0.27824     0.16514     0.29775]]",[    0.64661     0.61118     0.58727     0.55326     0.46934]
20201020_58,"[[    0.59687     0.46573     0.26737     0.17828]
 [    0.31665     0.44303     0.30196     0.18749]
 [    0.84293     0.48464     0.22609     0.12458]
 [    0.88219     0.63237     0.23467    0.064439]]",[    0.88651     0.79347     0.60523     0.55333]
20201023_11,[[    0.64116     0.13481     0.36326     0.26204]],[    0.49103]
20201023_15,[],[]
20201023_19,"[[    0.47499     0.68968     0.38155     0.11754]
 [    0.90775     0.50624     0.18451     0.16705]
 [    0.90955     0.64809     0.18075    0.090052]]",[    0.90065     0.70981     0.57809]
20201086_03,"[[    0.30742     0.34789     0.19386    0.095071]
 [    0.70713     0.20893     0.18509     0.13508]
 [    0.28747     0.21004     0.20912     0.13826]
 [     0.7852     0.42385     0.10473     0.10358]
 [    0.92122     0.56481     0.15756     0.28449]]",[    0.87596     0.86046     0.84059     0.52355     0.46523]
20201086_06,"[[    0.48645     0.31069     0.24125     0.10015]
 [    0.49392      0.7063      0.2438    0.048547]]",[    0.85427     0.53916]
20201086_10,"[[    0.85351      0.3028     0.14136     0.13359]
 [    0.65812     0.31584     0.23869     0.11569]
 [    0.37265     0.31073     0.31089     0.11773]
 [    0.14656      0.3104     0.13978     0.11486]]",[    0.87152      0.8693     0.86129     0.80812]
20201086_15,"[[    0.20318      0.4591     0.29446     0.14067]
 [     0.6643     0.42261     0.39258     0.18875]
 [    0.54858     0.41308     0.37701     0.16276]]",[    0.86635      0.8478     0.66157]
20201086_27,"[[    0.80435     0.24482      0.2944    0.074053]
 [    0.22286      0.2759     0.12286    0.063941]
 [    0.51544     0.36433     0.36752     0.18209]
 [    0.83229     0.37771     0.24451     0.17391]
 [   0.048419     0.24123      0.0757    0.079486]]",[    0.88392     0.77677     0.70905     0.59611     0.43782]
20201115_10,"[[    0.49402     0.36693     0.38946      0.1633]
 [     0.8474     0.51751     0.30521    0.068225]
 [    0.36463     0.36001     0.37991     0.15563]]",[    0.83028     0.82915     0.63911]
20201148_09,"[[    0.63451      0.4032     0.38784     0.26072]
 [    0.25598     0.45116     0.37059     0.24588]]",[    0.83306      0.5041]
20201148_14,"[[    0.51449     0.40291     0.21959     0.22682]
 [    0.57685     0.76627     0.26053     0.15279]]",[    0.85207     0.81457]
20201148_15,[[    0.49882     0.60396      0.3914     0.25599]],[     0.5508]
20201148_23,[[    0.77629     0.43339     0.39193     0.21932]],[    0.43181]
20201210_22,"[[    0.29529     0.70973     0.29274     0.11421]
 [    0.60489     0.70789     0.25704     0.10829]
 [    0.87615     0.70871     0.21789     0.10031]
 [    0.23775     0.42335     0.11343     0.08576]
 [    0.30189     0.42089     0.24248    0.091771]
 [    0.36074     0.42193     0.12682    0.084891]
 [    0.29933     0.19697      0.2878    0.075552]]",[    0.90582     0.89614     0.88795     0.73739     0.65625     0.57516     0.46038]
20201210_28,"[[    0.62624     0.52577     0.24093     0.13897]
 [    0.43305     0.43561     0.16457    0.050367]
 [    0.89677     0.48521     0.12693     0.10249]
 [    0.40397     0.32158    0.097161    0.044615]
 [    0.37116     0.72364     0.28937    0.045508]
 [   0.067858     0.64973     0.12963    0.043235]
 [    0.79402     0.68756    0.088188    0.053793]
 [    0.28572     0.44906     0.12775      0.2877]
 [    0.62152      0.6738     0.20574    0.087855]]",[    0.83122     0.81006     0.78345     0.64962     0.59501     0.52144     0.46219     0.41788     0.39774]
2025,"[[    0.77204     0.33015     0.38564     0.16011]
 [    0.22352      0.2518     0.38638     0.17083]
 [    0.74798     0.98391    0.084734    0.032177]
 [    0.61781     0.32134     0.37172     0.16432]]",[    0.77517     0.65028     0.43146     0.40091]
2029,"[[    0.40306     0.71013     0.16185    0.069727]
 [    0.52698      0.5191     0.38985    0.081145]
 [      0.683     0.70059     0.14029     0.04913]
 [    0.82367     0.70411    0.074583    0.055964]
 [    0.78484     0.52338      0.0987    0.053196]
 [    0.96069     0.30465     0.07862    0.042842]
 [    0.07591     0.59108     0.15182     0.30187]
 [    0.97266     0.46491    0.054687    0.048265]]",[    0.86698     0.84158     0.78513     0.73173     0.70252     0.69855     0.68466     0.56835]
20301003_20,"[[     0.5613    0.073386    0.096752    0.093595]
 [    0.83446      0.1575     0.12564    0.081774]
 [    0.55981     0.15146     0.13475    0.058761]
 [    0.20279     0.17968      0.3512     0.11795]]",[     0.8614     0.81563     0.65102     0.48452]
20301003_25,"[[    0.28869     0.20331     0.38157     0.30604]
 [      0.917     0.35978     0.10021      0.2699]]",[    0.81385     0.72802]
20301090_09,[[    0.59115     0.45186     0.39254     0.30914]],[    0.49566]
20301090_28,[[    0.80452     0.57288     0.39049      0.1433]],[    0.63963]
20301090_30,"[[    0.64617      0.5369     0.39074     0.30802]
 [    0.36161      0.5394     0.37859     0.31804]]",[    0.59501     0.51782]
20301114_20,"[[    0.44641     0.52694     0.28864     0.13619]
 [   0.073157     0.52816     0.14617     0.19225]]",[    0.89026     0.80964]
20301114_22,"[[    0.60919     0.35346     0.39128     0.31013]
 [    0.39336     0.36317      0.3762     0.33161]
 [    0.90829     0.49196     0.18341     0.24831]]",[    0.78894     0.49236     0.49035]
20301114_25,"[[    0.52512     0.29263      0.3383     0.21766]
 [    0.13549     0.28527     0.27098    0.087726]]",[    0.79858     0.41667]
20301114_27,"[[    0.48149     0.57275     0.27966     0.16436]
 [    0.72121     0.80562      0.2016     0.14732]
 [    0.53124     0.42145     0.17031      0.1368]
 [    0.48061     0.75584     0.19779    0.055178]
 [    0.95269     0.67658    0.094521     0.18291]
 [    0.49644     0.83783     0.15674    0.094344]]",[    0.85248      0.8465      0.7628      0.4943      0.4645     0.45875]
20301131_10,"[[     0.5574     0.45736     0.34619     0.23958]
 [   0.041264     0.37376    0.082337     0.12803]]",[    0.81749     0.39735]
20301131_25,"[[    0.33609     0.52685     0.30903     0.10118]
 [    0.55175      0.2287     0.39344     0.26805]
 [    0.95827     0.21143    0.083451     0.21218]
 [    0.91949     0.71055    0.099216     0.19765]
 [    0.61609     0.83923    0.043633    0.045051]]",[    0.87994     0.78237     0.63417     0.63276     0.44753]
20301131_4,"[[    0.25118     0.47965     0.35968     0.18089]
 [    0.64407     0.46001     0.37643     0.20687]]",[    0.86832     0.66296]
20301131_6,"[[    0.52395     0.71884     0.39207     0.13491]
 [     0.4959     0.48693     0.39624     0.17254]
 [    0.59463     0.94817     0.14771    0.098911]
 [   0.074904     0.28683     0.14981     0.14121]]",[    0.75808     0.64905     0.56024     0.49001]
20301159_07,"[[    0.74051     0.40774     0.22001    0.095821]
 [    0.26414     0.33724     0.38275     0.18392]
 [    0.51751     0.49435     0.21015    0.067603]
 [     0.8144     0.50456      0.3029    0.059977]]",[    0.87632     0.78509     0.78214      0.6845]
20301159_10,"[[    0.27519     0.32049      0.3012     0.17388]
 [   0.064757     0.30898     0.12951      0.1663]
 [    0.47313     0.50376     0.12807     0.04425]]",[    0.84828     0.71973     0.58947]
20301159_27,"[[    0.23134     0.37995     0.33865     0.19062]
 [    0.72285     0.34043     0.38839     0.27203]
 [    0.59826     0.36931      0.3818     0.21472]]",[    0.81223      0.8083     0.63746]
20301159_28,"[[    0.38288     0.65353     0.30739    0.099364]
 [    0.72992     0.59351     0.27509     0.12809]
 [    0.32717     0.49319      0.1655    0.095165]
 [    0.10633      0.6721     0.21266    0.062997]]",[    0.80359     0.74791      0.6689     0.48207]
20301228_33,"[[    0.78316     0.32028    0.085244     0.12961]
 [    0.23995     0.44865    0.089711    0.075031]
 [    0.19451     0.53161     0.20068    0.079993]
 [    0.14884     0.50854     0.11202     0.12555]
 [    0.63998     0.50122      0.2861     0.11603]]",[    0.85541      0.8174     0.52046     0.44736      0.4379]
20301228_42,"[[    0.56026     0.38932     0.26816     0.12429]
 [    0.25998      0.4179     0.14802     0.12633]]",[    0.83248     0.78846]
20301228_48,"[[    0.36227       0.373       0.267       0.194]
 [    0.89662     0.11546     0.10719    0.029461]]",[    0.78227     0.49847]
20301228_54,"[[    0.19601     0.43706     0.17385     0.10627]
 [     0.6702     0.36182     0.38484     0.13947]
 [    0.47886     0.37657     0.37195     0.13856]]",[    0.81221     0.68675      0.5153]
20301228_55,"[[    0.60107     0.73288     0.15674     0.13705]
 [    0.79612     0.35727     0.39421     0.26727]
 [   0.042785     0.54728    0.085571    0.092888]]",[    0.77912     0.75011     0.73177]
20301228_57,"[[    0.63263     0.44499     0.33388     0.14038]
 [    0.15817     0.21299    0.056548    0.033631]]",[    0.79316     0.49602]
20301266_23,"[[    0.72261     0.49195     0.38546    0.077328]
 [    0.32687     0.50617     0.38306    0.083808]]",[    0.86468     0.83583]
20301294_03,"[[    0.65902     0.86732     0.15361     0.17313]
 [    0.58114     0.47282     0.39163     0.15535]]",[    0.84731     0.80796]
20301294_07,"[[    0.68685     0.47597     0.39162     0.38596]
 [    0.94788     0.90012     0.10425     0.08122]
 [    0.67239     0.69291     0.38447     0.11877]
 [    0.59428     0.16768     0.38827     0.10726]
 [    0.27881     0.45709     0.37663     0.37074]]",[    0.72237     0.59871     0.47414     0.45787     0.42337]
20301294_26,"[[     0.6097     0.47455     0.39048      0.2936]
 [    0.96175     0.85447    0.076509    0.071818]
 [    0.39163     0.47281      0.3825     0.29555]
 [    0.95713     0.67498    0.085746     0.32071]]",[    0.76694     0.63409     0.62277     0.61995]
20301343_15,"[[    0.77731     0.29451     0.20247     0.14487]
 [    0.58614     0.31307     0.14845     0.15642]
 [    0.73792     0.64184     0.35505     0.23423]
 [    0.29617     0.46897    0.090289       0.155]
 [    0.11196     0.45694     0.10632     0.20576]
 [    0.51745     0.86415    0.087897      0.0876]
 [     0.3637     0.66179     0.38824     0.22348]]",[    0.82807     0.79511     0.74952     0.59934      0.5972     0.57923     0.56677]
20301343_18,"[[    0.48455      0.6337     0.38598      0.3724]
 [    0.84394     0.76857     0.31212    0.088046]
 [    0.50435     0.91287     0.26663    0.072892]
 [    0.82869     0.95209     0.34237    0.085473]
 [    0.19589     0.90874     0.35908    0.082072]
 [    0.25287     0.67452     0.37708     0.32063]]",[    0.64845     0.63145     0.62965     0.53353     0.51311     0.46622]
20301343_20,"[[    0.89187     0.75626     0.21516     0.19315]
 [   0.029859     0.96393    0.059579    0.072147]]",[     0.8253      0.5965]
20301343_25,"[[    0.66485     0.62019     0.39023     0.18027]
 [    0.81025     0.10648     0.37898     0.10029]
 [     0.3518     0.62767     0.37567     0.17422]]",[    0.78499     0.65236      0.4686]
20301368_11,"[[    0.72054     0.23638     0.38972     0.17922]
 [   0.097354     0.32772     0.19397     0.10509]
 [    0.39238      0.2612     0.38194     0.15667]]",[    0.78678      0.6214     0.55346]
20301368_13,[[    0.72488      0.2058     0.37052     0.12906]],[    0.55273]
20301368_15,"[[    0.74122     0.51762      0.3794     0.16441]
 [    0.80296     0.17092     0.39317     0.34185]
 [    0.64666       0.822    0.095622    0.056611]]",[    0.74557     0.67676     0.48259]
20301368_25,[[    0.79774     0.39979     0.37831     0.09052]],[    0.77063]
20301403_08,"[[    0.91784     0.43114     0.16398    0.074097]
 [    0.56477     0.88136     0.24393     0.23728]
 [    0.55461     0.45822      0.2191      0.1096]
 [    0.43831     0.32378     0.37938    0.097907]]",[    0.80269     0.68298     0.56082      0.4333]
